DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/02/2018,15:26,,,40.839813,-73.91315,"(40.839813, -73.91315)",EAST 171 STREET                 ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3875963,PASSENGER VEHICLE,,,,
04/02/2018,0:00,BRONX,10473,40.813076,-73.854065,"(40.813076, -73.854065)",COMPTON AVENUE                  ,STEPHENS AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3876784,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/02/2018,0:00,BROOKLYN,11203,40.648716,-73.92139,"(40.648716, -73.92139)",TILDEN AVENUE                   ,EAST 59 STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3874402,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/02/2018,0:00,BROOKLYN,11226,40.650654,-73.95296,"(40.650654, -73.95296)",CHURCH AVENUE                   ,VERONICA PLACE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3874420,PASSENGER VEHICLE,,,,
04/02/2018,0:00,QUEENS,11354,40.772346,-73.824684,"(40.772346, -73.824684)",29 AVENUE                       ,PARSONS BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3874120,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/02/2018,0:00,QUEENS,11378,40.72282,-73.89498,"(40.72282, -73.89498)",68 STREET                       ,CALDWELL AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,,,,,3873991,PASSENGER VEHICLE,,,,
04/02/2018,0:00,,,40.73543,-73.982704,"(40.73543, -73.982704)",EAST 19 STREET                  ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3874769,PASSENGER VEHICLE,VN,,,
04/02/2018,0:00,,,40.741024,-73.97862,"(40.741024, -73.97862)",2 AVENUE                        ,,,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3874783,SPORT UTILITY / STATION WAGON,BICYCLE,,,
04/02/2018,0:00,BRONX,10467,40.883286,-73.883194,"(40.883286, -73.883194)",WEST GUN HILL ROAD              ,GATES PLACE,,2,0,0,0,0,0,2,0,Unsafe Lane Changing,Unspecified,,,,3876452,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/02/2018,0:01,BROOKLYN,11211,40.715385,-73.942825,"(40.715385, -73.942825)",HUMBOLDT STREET                 ,CONSELYEA STREET,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,3874486,PASSENGER VEHICLE,,,,
